Feature,Importance,Statistical_Significance
BillingDelay,0.3231984296584727,0.0
SupportCalls,0.14958396781517266,
BillingDelayRate,0.12825311587778818,
ServiceUsageRate,0.07698879729744927,
Tenure,0.0649456235289331,3.959211929431026e-139
Sex_Male,0.06368039005238947,
SpendingEfficiency,0.044350820584797696,
TotalExpenditure,0.03767882060311654,1.0045329007517547e-25
CustomerAge,0.0374868401570986,
ActivityRatio,0.029024290867954966,
AgreementDuration_Monthly,0.021195408527948476,
RecentActivity,0.013174091531372768,0.7225058967134805
AgreementDuration_Quarterly,0.005822672608848226,
PlanType_Premium,0.0025850745320624984,
PlanType_Standard,0.0020316563565948827,
